object_id,object_name,object_type,orbit_zone,altitude_km,velocity_kmh,estimated_mass_kg,collision_risk_score,operational_status,fuel_required_kg,observed_at,data_source
HER-7358282246E7,Hermes Debris 001,DEBRIS,MEO,19124.17,21825.97,8101.02,91.6,CRITICAL,159.16,2026-06-06T05:45:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-B9FE37DE2691,Hermes Active Satellite 002,ACTIVE_SATELLITE,MEO,9939.71,10544.36,704.54,56.55,UNKNOWN,12.27,2026-06-07T14:26:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-B7B4EB8B8A2A,Hermes Inactive Satellite 003,INACTIVE_SATELLITE,LEO,1678.47,27993.98,4375.22,70.53,UNKNOWN,36.64,2026-06-06T22:25:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-B387255FE56C,Hermes Inactive Satellite 004,INACTIVE_SATELLITE,LEO,499.63,26091.95,4721.73,69.88,UNKNOWN,61.94,2026-06-06T07:21:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-F5BBD7467A8F,Hermes Inactive Satellite 005,INACTIVE_SATELLITE,GEO,35705.08,10657.17,1113.91,75.3,CRITICAL,15.21,2026-06-07T17:31:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-C1CAD22FB375,Hermes Rocket Body 006,ROCKET_BODY,LEO,1384.01,18493.94,4000.56,69.78,CRITICAL,74.79,2026-06-06T17:54:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-BC0E529C3D8C,Hermes Inactive Satellite 007,INACTIVE_SATELLITE,LEO,1722.54,10662.35,1290.67,91.11,CRITICAL,34.33,2026-06-06T09:04:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-22C96295F496,Hermes Inactive Satellite 008,INACTIVE_SATELLITE,GEO,35799.43,10803.96,5649.85,57.47,UNKNOWN,50.4,2026-06-07T23:47:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-8FB8467962B7,Hermes Service Module 009,SERVICE_MODULE,GEO,35845.59,11158.1,5519.69,25.61,ACTIVE,20.13,2026-06-06T11:10:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-E9C09FC0979E,Hermes Active Satellite 010,ACTIVE_SATELLITE,GEO,35716.61,11055.64,2121.66,45.42,INACTIVE,12.74,2026-06-06T05:36:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-0804BA6A8AA9,Hermes Active Satellite 011,ACTIVE_SATELLITE,LEO,1250.58,18777.21,1132.71,37.11,UNKNOWN,20.84,2026-06-06T19:28:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-12C8C26B18F5,Hermes Rocket Body 012,ROCKET_BODY,MEO,16524.34,17080.11,8150.83,76.69,ACTIVE,115.23,2026-06-06T07:47:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-8E4CB54CB162,Hermes Debris 013,DEBRIS,LEO,1092.73,26494.25,4239.39,84.34,CRITICAL,79.21,2026-06-07T16:55:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-1FBA7AC6BB17,Hermes Active Satellite 014,ACTIVE_SATELLITE,LEO,1253.13,11097.67,5508.51,23.18,CRITICAL,35.95,2026-06-08T21:59:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-D2498320C676,Hermes Debris 015,DEBRIS,MEO,5937.02,25946.66,7606.34,63.23,ACTIVE,99.3,2026-06-07T23:13:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-4AF04BE1CFF9,Hermes Inactive Satellite 016,INACTIVE_SATELLITE,LEO,1115.46,27986.76,6931.15,60.33,UNKNOWN,70.85,2026-06-07T19:31:03.615550+00:00,HERMES_MOCK_TELEMETRY
HER-C9E39C258553,Hermes Debris 017,DEBRIS,LEO,1799.72,21799.39,3479.86,92.18,CRITICAL,75.48,2026-06-07T19:13:03.615550+00:00,HERMES_MOCK_TELEMETRY
